[2025-04-22 21:03:25,630] anonymous, Request: POST /auth/register/ 200
[2025-04-22 21:03:29,189] anonymous, Request: GET /graphs/get/USD 200
[2025-04-22 21:12:02,642] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:12:03,961] anonymous, Request: POST /auth/login/ 400
[2025-04-22 21:12:04,062] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:12:07,961] anonymous, Request: POST /auth/login/ 401
[2025-04-22 21:12:08,623] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:12:12,003] anonymous, Request: POST /auth/login/ 200
[2025-04-22 21:12:12,179] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:12:13,294] anonymous, Request: POST /auth/register/ 401
[2025-04-22 21:12:13,766] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:12:15,777] anonymous, Request: POST /auth/register/ 200
[2025-04-22 21:12:19,023] anonymous, Request: GET /graphs/get/USD 200
[2025-04-22 21:19:12,167] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:19:14,593] anonymous, Request: POST /auth/login/ 400
[2025-04-22 21:19:14,614] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:19:17,234] anonymous, Request: POST /auth/login/ 401
[2025-04-22 21:19:17,272] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:19:19,800] anonymous, Request: POST /auth/login/ 200
[2025-04-22 21:19:19,814] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:19:21,076] anonymous, Request: POST /auth/register/ 401
[2025-04-22 21:19:21,729] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:19:24,908] anonymous, Request: POST /auth/register/ 200
[2025-04-22 21:19:30,162] anonymous, Request: GET /graphs/get/USD 200
[2025-04-22 21:25:58,547] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:25:59,750] anonymous, Request: POST /auth/login/ 400
[2025-04-22 21:25:59,764] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:26:02,402] anonymous, Request: POST /auth/login/ 401
[2025-04-22 21:26:02,445] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:26:05,511] anonymous, Request: POST /auth/login/ 200
[2025-04-22 21:26:07,007] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:26:09,636] anonymous, Request: POST /auth/register/ 500
[2025-04-22 21:26:10,217] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:26:12,506] anonymous, Request: POST /auth/register/ 200
[2025-04-22 21:26:16,619] anonymous, Request: GET /graphs/get/USD 200
[2025-04-22 21:30:45,815] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:30:46,839] anonymous, Request: POST /auth/login/ 400
[2025-04-22 21:30:46,851] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:30:48,759] anonymous, Request: POST /auth/login/ 401
[2025-04-22 21:30:48,772] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:30:50,723] anonymous, Request: POST /auth/login/ 200
[2025-04-22 21:30:50,738] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:30:52,239] anonymous, Request: POST /auth/register/ 500
[2025-04-22 21:30:53,211] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:30:56,941] anonymous, Request: POST /auth/register/ 200
[2025-04-22 21:31:00,770] anonymous, Request: GET /graphs/get/USD 200
[2025-04-22 21:32:36,785] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:32:38,261] anonymous, Request: POST /auth/login/ 400
[2025-04-22 21:32:38,275] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:32:41,296] anonymous, Request: POST /auth/login/ 401
[2025-04-22 21:32:41,334] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:32:45,399] anonymous, Request: POST /auth/login/ 200
[2025-04-22 21:32:45,436] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:32:48,381] anonymous, Request: POST /auth/register/ 200
[2025-04-22 21:32:48,413] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:32:51,768] anonymous, Request: POST /auth/register/ 200
[2025-04-22 21:32:54,830] anonymous, Request: GET /graphs/get/USD 200
[2025-04-22 21:38:18,826] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:38:19,868] anonymous, Request: POST /auth/login/ 400
[2025-04-22 21:38:19,896] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:38:22,114] anonymous, Request: POST /auth/login/ 401
[2025-04-22 21:38:22,132] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:38:26,415] anonymous, Request: POST /auth/login/ 200
[2025-04-22 21:38:26,427] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:38:28,795] anonymous, Request: POST /auth/register/ 200
[2025-04-22 21:38:28,807] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:38:30,679] anonymous, Request: POST /auth/register/ 200
[2025-04-22 21:38:33,611] anonymous, Request: GET /graphs/get/USD 200
[2025-04-22 21:47:36,886] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:47:38,810] anonymous, Request: POST /auth/login/ 400
[2025-04-22 21:47:38,825] anonymous, Request: GET /getcsrf/ 200
